"dimensione,bucket_min,bucket_max,variante,testo"
"btts,70,99,2,""Con {btts}% di Gol/Gol la clean sheet bilaterale è l'esito meno probabile della lavagna."""
"angoli,0,8.5,1,""Proiezione angoli bassa (~{angoli_tot}): pochi traversoni e gioco poco laterale."""
"angoli,0,8.5,2,""Le due squadre sviluppano poco sulle fasce: totale corner sotto 8.5."""
"angoli,8.5,10.5,1,""Fascia angoli standard (~{angoli_tot}): nessun profilo laterale anomalo, mercato neutro."""
"angoli,8.5,10.5,2,""Totale corner in linea con la media: nessuna pressione statistica sul mercato angoli."""
"angoli,10.5,99,1,""Alta proiezione angoli (~{angoli_tot}): attacco posizionale e cross frequenti spingono il totale sopra 10.5."""
"angoli,10.5,99,2,""Il profilo tattico genera molti corner: l'Over angoli è statisticamente supportato."""
"rigori,0,20,1,""Probabilità rigore bassa ({rigore_pct}%): stile e arbitraggio non suggeriscono penalty probabili."""
"rigori,0,20,2,""Nessun segnale forte verso il rigore: il dato resta sotto il 20%."""
"rigori,20,30,1,""Probabilità rigore media ({rigore_pct}%): possibile ma non centrale nell'analisi."""
"rigori,20,30,2,""Un rigore ogni 3-4 gare di questo tipo: il mercato sì-rigore non ha valore strutturale."""
"rigori,30,99,1,""Probabilità rigore elevata ({rigore_pct}%): pressing in area e direzione severa alzano l'attesa penalty."""
"rigori,30,99,2,""Il combinato stile offensivo interno all'area e arbitro porta il rigore sopra il 30%."""
"cartellini,0,3.5,1,""Profilo disciplinare leggero (~{cartelli_tot} cartellini attesi): gara che il modello non vede nervosa."""
"cartellini,0,3.5,2,""Bassa intensità di falli attesa: l'Over cartellini non è supportato."""
"cartellini,3.5,4.5,1,""Fascia cartellini standard (~{cartelli_tot}): agonismo normale, nessun edge disciplinare."""
"cartellini,3.5,4.5,2,""Conto ammonizioni proiettato in linea con la media campionati."""
"cartellini,4.5,99,1,""Alta tensione attesa (~{cartelli_tot} cartellini): posta in palio o arbitraggio severo alzano il profilo."""
"cartellini,4.5,99,2,""Il combinato falli/arbitro suggerisce una gara nervosa: Over 3.5 cartellini statisticamente vivo."""
"assenze_diff,-99,-1.5,1,""{teamA} paga un'infermeria più pesante di {teamB}: le assenze casalinghe pesano sul modello."""
"assenze_diff,-99,-1.5,2,""Il bilancio indisponibili penalizza i padroni di casa: profondità ridotta nei ruoli chiave."""
"assenze_diff,-1.5,1.5,1,""Organici sostanzialmente pari: nessuna delle due conta assenze decisive."""
"assenze_diff,-1.5,1.5,2,""Le indisponibilità non spostano gli equilibri: rose quasi al completo."""
"assenze_diff,1.5,99,1,""{teamB} arriva con assenze pesanti: il modello sconta agli ospiti un calo di qualità nei ruoli scoperti."""
"assenze_diff,1.5,99,2,""L'infermeria di {teamB} è il fattore extra-campo più rilevante: reparto chiave scoperto."""
"solidita_diff,-99,-0.4,1,""{teamA} concede meno di {teamB} a livello strutturale: la solidità difensiva casalinga è un asset del modello."""
"solidita_diff,-99,-0.4,2,""Difesa di casa più ermetica: gli xGA proiettati premiano {teamA}."""
"solidita_diff,-0.4,0.4,1,""Solidità difensiva comparabile: nessuna delle due protegge l'area meglio dell'altra."""
"solidita_diff,-0.4,0.4,2,""Il modello non registra un divario difensivo significativo."""
"solidita_diff,0.4,99,1,""{teamB} concede strutturalmente meno: la clean sheet ospite è più probabile di quella casalinga."""
"solidita_diff,0.4,99,2,""La difesa di {teamB} è il reparto più affidabile in campo: xGA a favore degli ospiti."""
